Brand,Description,Size,YearMonth,UnitsSold,Revenue,UnitsReceived,PurchaseCost,SupplyGap,CoverRatio,PlanningStatus
4380,Ron Virgin Heavy Bodied Rum,1.75L,2024-02,721,11476.789999999999,782.0,8476.880000000001,61.0,1.08,Well Balanced
4380,Ron Virgin Heavy Bodied Rum,1.75L,2024-03,1360,19026.4,1354.0,14677.36,-6.0,1.0,Well Balanced
4380,Ron Virgin Heavy Bodied Rum,1.75L,2024-04,866,13519.34,844.0,9148.960000000001,-22.0,0.97,Well Balanced
4380,Ron Virgin Heavy Bodied Rum,1.75L,2024-05,1208,16929.92,1236.0,13398.24,28.0,1.02,Well Balanced
4380,Ron Virgin Heavy Bodied Rum,1.75L,2024-06,881,12325.19,984.0,10666.560000000001,103.0,1.12,Well Balanced
4380,Ron Virgin Heavy Bodied Rum,1.75L,2024-07,1506,21068.94,2041.0,22124.440000000002,535.0,1.36,Well Balanced
4380,Ron Virgin Heavy Bodied Rum,1.75L,2024-08,930,13010.7,1859.0,20151.56,929.0,2.0,Over-Ordered
4380,Ron Virgin Heavy Bodied Rum,1.75L,2024-09,1398,19558.02,1110.0,12032.4,-288.0,0.79,Under-Ordered
4380,Ron Virgin Heavy Bodied Rum,1.75L,2024-10,1309,18312.91,918.0,9951.12,-391.0,0.7,Under-Ordered
4380,Ron Virgin Heavy Bodied Rum,1.75L,2024-11,1441,20159.59,1297.0,14059.480000000001,-144.0,0.9,Well Balanced
4380,Ron Virgin Heavy Bodied Rum,1.75L,2024-12,1384,19362.16,1077.0,11674.68,-307.0,0.78,Under-Ordered
4382,Admiral Nelson Spiced Rum,1.75L,2024-01,321,5840.79,341.0,3560.04,20.0,1.06,Well Balanced
4382,Admiral Nelson Spiced Rum,1.75L,2024-02,663,9275.37,604.0,6305.76,-59.0,0.91,Well Balanced
4382,Admiral Nelson Spiced Rum,1.75L,2024-03,625,8743.75,674.0,7036.56,49.0,1.08,Well Balanced
4382,Admiral Nelson Spiced Rum,1.75L,2024-04,595,8815.05,581.0,6065.64,-14.0,0.98,Well Balanced
4382,Admiral Nelson Spiced Rum,1.75L,2024-05,918,11966.82,902.0,9416.88,-16.0,0.98,Well Balanced
4382,Admiral Nelson Spiced Rum,1.75L,2024-06,870,11301.3,884.0,9228.960000000001,14.0,1.02,Well Balanced
4382,Admiral Nelson Spiced Rum,1.75L,2024-07,1153,14977.47,1103.0,11515.32,-50.0,0.96,Well Balanced
4382,Admiral Nelson Spiced Rum,1.75L,2024-08,912,12758.88,1000.0,10440.0,88.0,1.1,Well Balanced
4382,Admiral Nelson Spiced Rum,1.75L,2024-09,768,11852.32,785.0,8195.4,17.0,1.02,Well Balanced
4382,Admiral Nelson Spiced Rum,1.75L,2024-10,410,7531.9,437.0,4562.28,27.0,1.07,Well Balanced
4382,Admiral Nelson Spiced Rum,1.75L,2024-11,653,9788.47,713.0,7443.72,60.0,1.09,Well Balanced
4382,Admiral Nelson Spiced Rum,1.75L,2024-12,673,9506.27,662.0,6911.28,-11.0,0.98,Well Balanced
4383,Bacardi Pineapple Fusion Trv,750mL,2024-01,8,79.92,0.0,0.0,-8.0,0.0,No Replenishment
4383,Bacardi Pineapple Fusion Trv,750mL,2024-02,12,119.88,0.0,0.0,-12.0,0.0,No Replenishment
4383,Bacardi Pineapple Fusion Trv,750mL,2024-03,13,129.87,0.0,0.0,-13.0,0.0,No Replenishment
4383,Bacardi Pineapple Fusion Trv,750mL,2024-04,17,169.83,0.0,0.0,-17.0,0.0,No Replenishment
4383,Bacardi Pineapple Fusion Trv,750mL,2024-05,9,89.91,0.0,0.0,-9.0,0.0,No Replenishment
4383,Bacardi Pineapple Fusion Trv,750mL,2024-06,4,39.96,0.0,0.0,-4.0,0.0,No Replenishment
4383,Bacardi Pineapple Fusion Trv,750mL,2024-07,8,79.92,0.0,0.0,-8.0,0.0,No Replenishment
4383,Bacardi Pineapple Fusion Trv,750mL,2024-08,8,79.92,0.0,0.0,-8.0,0.0,No Replenishment
4383,Bacardi Pineapple Fusion Trv,750mL,2024-09,2,19.98,0.0,0.0,-2.0,0.0,No Replenishment
4383,Bacardi Pineapple Fusion Trv,750mL,2024-10,8,79.92,0.0,0.0,-8.0,0.0,No Replenishment
4383,Bacardi Pineapple Fusion Trv,750mL,2024-11,1,9.99,0.0,0.0,-1.0,0.0,No Replenishment
4383,Bacardi Pineapple Fusion Trv,750mL,2024-12,2,19.98,0.0,0.0,-2.0,0.0,No Replenishment
4385,Parrot Bay 90 Coconut Capt,1.75L,2024-01,365,9121.35,384.0,6351.36,19.0,1.05,Well Balanced
4385,Parrot Bay 90 Coconut Capt,1.75L,2024-02,393,9821.07,389.0,6434.0599999999995,-4.0,0.99,Well Balanced
4385,Parrot Bay 90 Coconut Capt,1.75L,2024-03,388,9696.119999999999,406.0,6715.24,18.0,1.05,Well Balanced
4385,Parrot Bay 90 Coconut Capt,1.75L,2024-04,452,11295.48,404.0,6682.16,-48.0,0.89,Well Balanced
4385,Parrot Bay 90 Coconut Capt,1.75L,2024-05,776,17904.239999999998,753.0,12454.619999999999,-23.0,0.97,Well Balanced
4385,Parrot Bay 90 Coconut Capt,1.75L,2024-06,705,17617.95,777.0,12851.58,72.0,1.1,Well Balanced
4385,Parrot Bay 90 Coconut Capt,1.75L,2024-07,1052,24561.48,970.0,16043.8,-82.0,0.92,Well Balanced
4385,Parrot Bay 90 Coconut Capt,1.75L,2024-08,678,16943.219999999998,827.0,13678.58,149.0,1.22,Well Balanced
4385,Parrot Bay 90 Coconut Capt,1.75L,2024-09,637,15918.63,567.0,9378.18,-70.0,0.89,Well Balanced
